,Endereco,LATITUDE,LONGITUDE
11667,"rua professor agostinho b.  veiga, SÍTIO CERCADO, Curitiba",-25.5459988,-49.2914284
11668,"rua domenico tonatto, CAJURU, Curitiba",-25.4479048,-49.21743
11669,"rua das conchas, CIDADE INDUSTRIAL, Curitiba",-25.5016556,-49.3406294
11670,"rua coronel anibal dos santos, FANNY, Curitiba",-25.4790887,-49.267289
11671,"rua placido machucheta, ALTO BOQUEIRÃO, Curitiba",-25.5390785,-49.2328419
11672,"rua doutor djalma ferreira lopes, UBERABA, Curitiba",-25.4725234,-49.2420232
11673,"rua quinta do sol, BUTIATUVINHA, Curitiba",-25.4108961,-49.36019839999999
11674,"rua francisco frederico leone, CIDADE INDUSTRIAL, Curitiba",-25.4935407,-49.3483642
11675,"rua teixeira de freitas, SÃO FRANCISCO, Curitiba",-17.5400307,-39.7421813
11676,"rua fernando simas, BATEL, Curitiba",-25.4345683,-49.2873714
11677,"rua francisco juglair, CAMPO COMPRIDO, Curitiba",-25.4384546,-49.33288229999999
11678,"rua josé vendrametto, XAXIM, Curitiba",-25.4933416,-49.26178549999999
11679,"rua monte hermom, PINHEIRINHO, Curitiba",-25.5282752,-49.27043159999999
11680,"rua raphael papa, BAIRRO ALTO, Curitiba",-25.424688,-49.2329738
11681,"rua desembargador vatel goncalves pereira, SÍTIO CERCADO, Curitiba",-25.5363153,-49.2534729
11682,"rua monsenhor ivo zanlorenzi, ÁGUA VERDE, Curitiba",-25.4396686,-49.3330486
11683,"rua bertha lutz, CAJURU, Curitiba",-25.4514673,-49.202416
11684,"rua engenheiro farid surugi, CAPÃO DA IMBUIA, Curitiba",-25.4317515,-49.2216605
11685,"rua delegado naby parana, CAPÃO RASO, Curitiba",-25.4973282,-49.2900903
11686,"rua gottfried werner, SÍTIO CERCADO, Curitiba",-25.5543139,-49.2591919
11687,"rua padre joão bagozzi, PORTÃO, Curitiba",-25.4766986,-49.30256319999999
11688,"rua francisco ader, CAPÃO RASO, Curitiba",-25.4916782,-49.29964349999999
11689,"rua jasmin, SANTA FELICIDADE, Curitiba",-25.4039852,-49.32869170000001
11690,"rua joão prussak, CAMPO DE SANTANA, Curitiba",-25.5959753,-49.33580329999999
11691,"rua hussein ibrain omairy, SÍTIO CERCADO, Curitiba",-25.5536787,-49.259569
11692,"rua ilha de granada, JARDIM SOCIAL, Curitiba",-25.4113857,-49.2367121
11693,"rua jornalista jose cury, CIDADE INDUSTRIAL, Curitiba",-25.4756818,-49.344672
11694,"rua professor paulo d assumpção, UBERABA, Curitiba",-25.4702729,-49.2216341
11695,"rua professor emílio schutz, CAJURU, Curitiba",-25.4808762,-49.3044253
