,Endereco,LATITUDE,LONGITUDE
172,"rua capitão roberto lopes quintas, ALTO BOQUEIRÃO, Curitiba",-25.5372024,-49.2371681
173,"rua milton miramir visinoni, SÍTIO CERCADO, Curitiba",-25.5434341,-49.2502079
174,"rua carlos klemtz, FAZENDINHA, Curitiba",-25.4763452,-49.32130249999999
175,"rua prefeito maurício fruet, CAPÃO DA IMBUIA, Curitiba",-25.4397073,-49.2237836
176,"rua canal belém, CENTRO, Curitiba",-25.4854914,-49.2346413
177,"rua do rosário, CENTRO, Curitiba",-25.4284309,-49.2732123
178,"rua luiz augusto de toledo leite, UBERABA, Curitiba",-25.5579583,-49.2798679
179,"rua coronel wallace scott murray, SANTA CÂNDIDA, Curitiba",-25.3775846,-49.2323814
180,"rua sergipe, PORTÃO, Curitiba",-25.4716086,-49.2739108
181,"rua presidente affonso camargo, JARDIM BOTÂNICO, Curitiba",-25.4353638,-49.2573899
182,"rua  euclides bandeira, CENTRO CÍVICO, Curitiba",-25.4133879,-49.2703932
183,"rua zorayde mandelli, CAPÃO DA IMBUIA, Curitiba",-25.4419996,-49.2013028
184,"rua guarandi, SÃO BRAZ, Curitiba",-25.4187121,-49.3385672
185,"rua nossa senhora do equilíbrio, CIDADE INDUSTRIAL, Curitiba",-25.498634,-49.3532375
186,"rua pedro zagonel, NOVO MUNDO, Curitiba",-25.4890055,-49.3031167
187,"rua josé irineu budant, SÍTIO CERCADO, Curitiba",-25.555965,-49.2647528
188,"rua conde dos arcos, LINDÓIA, Curitiba",-25.4796343,-49.2775383
189,"rua alberto kosop, PINHEIRINHO, Curitiba",-25.5195129,-49.29835749999999
190,"rua nazilde guimarães paixão, CIDADE INDUSTRIAL, Curitiba",-25.4987296,-49.3434477
191,"rua do trabalho, SÍTIO CERCADO, Curitiba",-25.5378223,-49.2984537
192,"rua gustavo prestes aldenucci, SÍTIO CERCADO, Curitiba",-25.5324637,-49.25714809999999
193,"rua lygia erichsen carneiro, UBERABA, Curitiba",-25.4853816,-49.2016259
194,"rua cabral, CENTRO, Curitiba",-25.4282892,-49.2786445
195,"rua joão amadeu pedro bom, TATUQUARA, Curitiba",-25.5511225,-49.29871110000001
196,"rua ayrton pizzatto gusi, XAXIM, Curitiba",-25.5254615,-49.2594763
197,"rua padre francisco van de water, SÍTIO CERCADO, Curitiba",-25.5459711,-49.2503801
198,"rua jurandir mendes de lima (radialista jurandir carioca), GANCHINHO, Curitiba",-25.5554978,-49.2481186
199,"rua assis figueiredo, PAROLIN, Curitiba",-25.4660817,-49.2700167
200,"rua desembargador josé carlos ribeiro ribas, ABRANCHES, Curitiba",-25.3795824,-49.2791027
